#-----------------------------------------------------------
# xsim v2021.2 (64-bit)
# SW Build 3367213 on Tue Oct 19 02:48:09 MDT 2021
# IP Build 3369179 on Thu Oct 21 08:25:16 MDT 2021
# Start of session at: Fri May  1 23:16:18 2026
# Process ID: 25864
# Current directory: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim
# Command line: xsim.exe -log simulate_official_plus_beq_trace.log -mode tcl -source {xsim.dir/tb_official_plus_behav/xsim_script.tcl}
# Log file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim/simulate_official_plus_beq_trace.log
# Journal file: D:/riscv32_pipeline/riscv32_pipeline.sim/sim_1/behav/xsim\xsim.jou
# Running On: WDDdLaptop, OS: Windows, CPU Frequency: 3194 MHz, CPU Physical cores: 16, Host memory: 16366 MB
#-----------------------------------------------------------
source xsim.dir/tb_official_plus_behav/xsim_script.tcl
# xsim {tb_official_plus_behav} -autoloadwcfg -tclbatch {run_all_coremark.tcl}
Time resolution is 1 ps
source run_all_coremark.tcl
## run all
WARNING: This core is supplied with a behavioral model. To model cycle-accurate behavior you must run timing simulation.
>>> Reset released, official test starts. mem=                                                                                                               official_test.mem
TRACE[40] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[41] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[42] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[43] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[44] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[45] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[46] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[47] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[48] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[49] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[50] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[51] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[52] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[53] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[54] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[55] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[56] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[57] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[58] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[59] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[60] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[61] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[62] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[63] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[64] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[65] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[66] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[67] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[68] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[69] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[70] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[71] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[72] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[73] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[74] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[75] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[76] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[77] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[78] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[79] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[80] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[81] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[82] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[83] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[84] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[85] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[86] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[87] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[88] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[89] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[90] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[91] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[92] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[93] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[94] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[95] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[96] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[97] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[98] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[99] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[100] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[101] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[102] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[103] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[104] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[105] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[106] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[107] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[108] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[109] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[110] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[111] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[112] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[113] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[114] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[115] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[116] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[117] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[118] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[119] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[120] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[121] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[122] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[123] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[124] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[125] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
TRACE[126] pc=00000000 wb_ena=1 wb_reg=0 wb_value=00000000 mem_we=0 mem_addr=000000d4 mem_wd=00000000
TRACE[127] pc=000000d4 wb_ena=0 wb_reg=0 wb_value=000000d4 mem_we=0 mem_addr=00000000 mem_wd=00000000
