test,result,detail
rv32ui-p-add_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005cc time=5445000"
rv32ui-p-addi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000374 time=2855000"
rv32ui-p-and_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005a4 time=5645000"
rv32ui-p-andi_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000002ac time=2415000"
rv32ui-p-auipc_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000130 time=855000"
rv32ui-p-beq_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003ac time=4145000"
rv32ui-p-bge_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=0000040c time=4685000"
rv32ui-p-bgeu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000440 time=4935000"
rv32ui-p-blt_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003ac time=4145000"
rv32ui-p-bltu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003e0 time=4395000"
rv32ui-p-bne_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003b0 time=4225000"
rv32ui-p-fence_i_nocsr.mem,FAIL,"RESULT FAIL test_current.mem code=00000002 pc=000001a4 wb_reg=6 wb_value=00000002 time=995000"
rv32ui-p-jal_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000140 time=825000"
rv32ui-p-jalr_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001e0 time=1825000"
rv32ui-p-lb_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000358 time=3235000"
rv32ui-p-lbu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000358 time=3235000"
rv32ui-p-ld_st_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000f54 time=15915000"
rv32ui-p-lh_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000388 time=3395000"
rv32ui-p-lhu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003a4 time=3485000"
rv32ui-p-lui_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=0000014c time=845000"
rv32ui-p-lw_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003b8 time=3535000"
rv32ui-p-ma_data_nocsr.mem,FAIL,"RESULT FAIL test_current.mem code=00000002 pc=00000624 wb_reg=6 wb_value=00000002 time=815000"
rv32ui-p-or_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b0 time=5675000"
rv32ui-p-ori_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000002c8 time=2485000"
rv32ui-p-sb_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000560 time=6925000"
rv32ui-p-sh_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005e4 time=7455000"
rv32ui-p-simple_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000000d8 time=565000"
rv32ui-p-sll_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=0000063c time=5725000"
rv32ui-p-slli_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000370 time=2845000"
rv32ui-p-slt_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=5385000"
rv32ui-p-slti_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000360 time=2805000"
rv32ui-p-sltiu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000360 time=2805000"
rv32ui-p-sltu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=5385000"
rv32ui-p-sra_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000688 time=5915000"
rv32ui-p-srai_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000003a4 time=2995000"
rv32ui-p-srl_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=00000670 time=5855000"
rv32ui-p-srli_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=0000038c time=2935000"
rv32ui-p-st_ld_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000007d4 time=6745000"
rv32ui-p-sub_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005ac time=5365000"
rv32ui-p-sw_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005f0 time=6815000"
rv32ui-p-xor_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005ac time=5665000"
rv32ui-p-xori_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000002d0 time=2505000"
rv32um-p-div_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3345000"
rv32um-p-divu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001cc time=3355000"
rv32um-p-mul_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=14565000"
rv32um-p-mulh_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=14205000"
rv32um-p-mulhsu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=14205000"
rv32um-p-mulhu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000005b4 time=14205000"
rv32um-p-rem_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3345000"
rv32um-p-remu_nocsr.mem,PASS,"RESULT PASS test_current.mem pc=000001c8 time=3345000"
